stream,capcode,mominfer,momdate,momlen,cohort,totfry,cohfre,redd,redddate,prs,size,strres,cohortdum,year,streamid,yearid,logcohortdum,dum
lower,B19,L-A-004,2019-05-08,396,4,110,0.036363636,L-R-003,2019-06-13,1,0.668131258,36,5,2019,1,1,1.6094379124341003,1
lower,B19,L-A-090,2019-06-24,381,106,110,0.963636364,L-R-027,2019-06-26,0,1.347178557,2,107,2019,1,1,4.672828834461906,1
lower,B21,21LA0134,2021-06-12,415,1,191,0.005235602,LR042,2021-06-18,9,0.805895067,6,2,2021,1,2,0.6931471805599453,2
lower,B21,21LA0340,2021-06-27,441,55,191,0.287958115,LR122,2021-06-29,0,1.1313501480000001,2,56,2021,1,2,4.02535169073515,2
lower,B21,21LA0387,2021-07-09,390,119,191,0.623036649,LR176,2021-07-14,0,0.763166424,5,120,2021,1,2,4.787491742782046,2
lower,B21,UNKRXC,NA,NA,16,191,0.083769634,LR096,2021-06-25,7,0.62213178,NA,17,2021,1,2,2.833213344056216,2
lower,C19,L-A-124,2019-07-07,344,86,86,1,L-R-054,2019-07-13,0,0.733675221,6,87,2019,1,1,4.465908118654584,1
lower,C21,21LA0211,2021-06-16,404,2,166,0.012048193,LR051,2021-06-18,2,1.216285491,2,3,2021,1,2,1.0986122886681098,2
lower,C21,21LA0227,2021-06-17,397,5,166,0.030120482,LR131,2021-06-29,3,1.050328871,12,6,2021,1,2,1.791759469228055,2
lower,C21,21LA0341,2021-06-27,442,159,166,0.957831325,LR156,2021-07-01,0,0.712308414,4,160,2021,1,2,5.075173815233827,2
lower,E21,21LA0321,2021-06-23,349,109,158,0.689873418,LR109,2021-06-25,5,1.039754827,2,110,2021,1,2,4.700480365792417,2
lower,E21,21LA0357,2021-06-30,385,49,158,0.310126582,LR170,2021-07-05,0,0.738239477,5,50,2021,1,2,3.912023005428146,2
upper,E19,U-A-062,2019-07-04,415,76,112,0.678571429,U-R-038,2019-07-07,0,0.850772122,3,77,2019,2,1,4.343805421853684,3
upper,E19,U-A-064,2019-07-05,404,36,112,0.321428571,U-R-039,2019-07-07,2,0.770818589,2,37,2019,2,1,3.6109179126442243,3
upper,F21,21UA0090,2021-06-17,361,20,266,0.07518797,UR043,2021-06-19,8,1.110153345,2,21,2021,2,2,3.044522437723423,4
upper,F21,21UA0177,2021-06-24,361,164,266,0.616541353,UR132,2021-06-29,0,0.592630635,5,165,2021,2,2,5.10594547390058,4
upper,F21,21UA0196,2021-06-25,331,82,266,0.308270677,UR131,2021-06-29,2,0.955041184,4,83,2021,2,2,4.418840607796598,4
upper,G19,U-A-005,2019-06-17,320,10,234,0.042735043,U-R-001,2019-06-19,7,0.882012079,2,11,2019,2,1,2.3978952727983707,3
upper,G19,U-A-100,2019-07-18,335,224,234,0.957264957,U-R-099,2019-07-21,0,0.916364798,3,225,2019,2,1,5.41610040220442,3
upper,G21,21UA0055,2021-06-12,386,141,170,0.829411765,UR021,2021-06-16,3,0.987177887,4,142,2021,2,2,4.955827057601261,4
upper,G21,21UA0199,2021-06-26,NA,29,170,0.170588235,UR182,2021-07-23,0,0.748641529,27,30,2021,2,2,3.4011973816621555,4
upper,H19,U-A-078,2019-07-10,391,9,297,0.03030303,U-R-079,2019-07-13,4,0.818994315,3,10,2019,2,1,2.302585092994046,3
upper,H19,U-A-096,2019-07-14,396,288,297,0.96969697,U-R-087,2019-07-18,0,0.763819597,4,289,2019,2,1,5.666426688112432,3
lower,B21,NA,NA,NA,0,191,0,LR012,2021-06-04,8,0.981423603,NA,1,2021,1,2,0,2
lower,F19,U-A-047,2019-07-01,400,114,247,0.4615,U-R-031,2019-07-03,3,0.993854766,2,115,2019,1,1,4.74493212836325,1
lower,F19,U-A-047,2019-07-01,400,132,247,0.5344,U-R-032,2019-07-03,0,0.985296909,2,133,2019,1,1,4.890349128221754,1
