reddID,stream,year,date,prs,size,clusterID,clust,doy,meddate,reldoy,dum,zprs
L-R-001,lower,2019,2019-05-09,0,0.7885570411190517,L-CL-001,1,129,177,-48,1,-0.8107321620578832
L-R-003,lower,2019,2019-06-13,1,0.7167970088288371,L-CL-004,1,164,177,-13,1,2.482867246302267
L-R-004,lower,2019,2019-06-13,0,0.816381963233003,NA,0,164,177,-13,1,-0.8107321620578832
L-R-005,lower,2019,2019-06-13,5,0.87394180747642225,L-CL-002,1,164,177,-13,1,15.65726487974287
L-R-007,lower,2019,2019-06-21,0,0.3984377873634713,NA,0,172,177,-5,1,-0.8107321620578832
L-R-008,lower,2019,2019-06-21,3,1.4562001109152765,L-CL-005,1,172,177,-5,1,9.07006606302257
L-R-010,lower,2019,2019-06-21,0,1.0495997971453668,NA,0,172,177,-5,1,-0.8107321620578832
L-R-011,lower,2019,2019-06-21,8,0.86040337258095545,L-CL-008,1,172,177,-5,1,25.53806310482332
L-R-012,lower,2019,2019-06-21,8,0.8426111076809862,L-CL-008,1,172,177,-5,1,25.53806310482332
L-R-014,lower,2019,2019-06-21,3,-Inf,L-CL-010,1,172,177,-5,1,9.07006606302257
L-R-015,lower,2019,2019-06-21,3,1.8758816884569471,L-CL-010,1,172,177,-5,1,9.07006606302257
L-R-016,lower,2019,2019-06-21,0,0.8050268090634014,NA,0,172,177,-5,1,-0.8107321620578832
L-R-017,lower,2019,2019-06-21,0,1.3305716057496106,NA,0,172,177,-5,1,-0.8107321620578832
L-R-018,lower,2019,2019-06-21,0,1.8842494908170964,NA,0,172,177,-5,1,-0.8107321620578832
L-R-019,lower,2019,2019-06-24,8,1.6032773667919031,L-CL-002,1,175,177,-2,1,25.53806310482332
L-R-020,lower,2019,2019-06-24,5,1.7561936952792983,L-CL-002,1,175,177,-2,1,15.65726487974287
L-R-021,lower,2019,2019-06-24,0,1.0418345749664848,NA,0,175,177,-2,1,-0.8107321620578832
L-R-022,lower,2019,2019-06-26,3,1.0500957019616293,L-CL-008,1,177,177,0,1,9.07006606302257
L-R-023,lower,2019,2019-06-24,1,1.4977036409944993,L-CL-010,1,175,177,-2,1,2.482867246302267
L-R-024,lower,2019,2019-06-26,0,1.3357672196241017,L-CL-001,1,177,177,0,1,-0.8107321620578832
L-R-025,lower,2019,2019-06-26,3,0.7088602607378043,L-CL-002,1,177,177,0,1,9.07006606302257
L-R-026,lower,2019,2019-06-26,1,1.1610143619108544,L-CL-003,1,177,177,0,1,2.482867246302267
L-R-027,lower,2019,2019-06-26,0,1.456794616320245,L-CL-004,1,177,177,0,1,-0.8107321620578832
L-R-028,lower,2019,2019-06-26,1,2.0902030948947274,L-CL-007,1,177,177,0,1,2.482867246302267
L-R-029,lower,2019,2019-06-26,0,1.0111399530571157,L-CL-008,1,177,177,0,1,-0.8107321620578832
L-R-030,lower,2019,2019-06-26,7,1.3659011492542514,L-CL-009,1,177,177,0,1,22.244463696463168
L-R-031,lower,2019,2019-06-26,4,1.3406898682091932,L-CL-009,1,177,177,0,1,12.363665471382719
L-R-032,lower,2019,2019-06-29,0,0.6514416619954169,NA,0,180,177,3,1,-0.8107321620578832
L-R-033,lower,2019,2019-06-29,0,0.8747441122026944,NA,0,180,177,3,1,-0.8107321620578832
L-R-034,lower,2019,2019-07-06,0,1.5246234311527538,NA,0,187,177,10,1,-0.8107321620578832
L-R-036,lower,2019,2019-06-29,0,0.6601571213257251,NA,0,180,177,3,1,-0.8107321620578832
L-R-037,lower,2019,2019-06-29,0,0.6609298395669665,NA,0,180,177,3,1,-0.8107321620578832
L-R-038,lower,2019,2019-07-02,4,1.67220504512708,L-CL-011,1,183,177,6,1,12.363665471382719
