stream,location,date,meanT,gdd,doyrel
lowerbarbc,SG,5/14/19,8.94203125,3035.803723,-37
lowerbarbc,SG,5/15/19,8.914431579,3026.861692,-36
lowerbarbc,SG,5/16/19,8.823677083,3017.94726,-35
lowerbarbc,SG,5/17/19,8.702,3009.123583,-34
lowerbarbc,SG,5/18/19,8.579875,3000.421583,-33
lowerbarbc,SG,5/19/19,8.39890625,2991.841708,-32
lowerbarbc,SG,5/20/19,8.319739583,2983.442802,-31
lowerbarbc,SG,5/21/19,8.60125,2975.123062,-30
lowerbarbc,SG,5/22/19,8.40203125,2966.521812,-29
lowerbarbc,SG,5/23/19,8.2359375,2958.119781,-28
lowerbarbc,SG,5/24/19,8.55871875,2949.883844,-27
lowerbarbc,SG,5/25/19,8.74253125,2941.325125,-26
lowerbarbc,SG,5/26/19,8.8793125,2932.582594,-25
lowerbarbc,SG,5/27/19,8.559760417,2923.703281,-24
lowerbarbc,SG,5/28/19,8.834354167,2915.143521,-23
lowerbarbc,SG,5/29/19,9.068729167,2906.309167,-22
lowerbarbc,SG,5/30/19,9.241677083,2897.240437,-21
lowerbarbc,SG,5/31/19,9.034291667,2887.99876,-20
lowerbarbc,SG,6/1/19,9.138322917,2878.964469,-19
lowerbarbc,SG,6/2/19,9.25415625,2869.826146,-18
lowerbarbc,SG,6/3/19,9.170989583,2860.57199,-17
lowerbarbc,SG,6/4/19,9.256260417,2851.401,-16
lowerbarbc,SG,6/5/19,9.353864583,2842.14474,-15
lowerbarbc,SG,6/6/19,9.052270833,2832.790875,-14
lowerbarbc,SG,6/7/19,8.892010417,2823.738604,-13
lowerbarbc,SG,6/8/19,8.689020833,2814.846594,-12
lowerbarbc,SG,6/9/19,8.961489583,2806.157573,-11
lowerbarbc,SG,6/10/19,9.147947917,2797.196083,-10
lowerbarbc,SG,6/11/19,9.3638125,2788.048135,-9
lowerbarbc,SG,6/12/19,9.44875,2778.684323,-8
lowerbarbc,SG,6/13/19,9.384927083,2769.235573,-7
lowerbarbc,SG,6/14/19,9.447114583,2759.850646,-6
lowerbarbc,SG,6/15/19,9.52265625,2750.403531,-5
lowerbarbc,SG,6/16/19,9.433333333,2740.880875,-4
lowerbarbc,SG,6/17/19,9.195916667,2731.447542,-3
lowerbarbc,SG,6/18/19,9.31971875,2722.251625,-2
lowerbarbc,SG,6/19/19,9.415145833,2712.931906,-1
lowerbarbc,SG,6/20/19,8.922802083,2703.51676,0
lowerbarbc,SG,6/21/19,9.039458333,2694.593958,1
lowerbarbc,SG,6/22/19,9.068364583,2685.5545,2
lowerbarbc,SG,6/23/19,8.99396875,2676.486135,3
lowerbarbc,SG,6/24/19,9.3133125,2667.492167,4
lowerbarbc,SG,6/25/19,9.359510417,2658.178854,5
lowerbarbc,SG,6/26/19,9.630395833,2648.819344,6
lowerbarbc,SG,6/27/19,9.543333333,2639.188948,7
lowerbarbc,SG,6/28/19,9.66778125,2629.645615,8
lowerbarbc,SG,6/29/19,9.662947917,2619.977833,9
lowerbarbc,SG,6/30/19,9.497666667,2610.314885,10
lowerbarbc,SG,7/1/19,9.615479167,2600.817219,11
lowerbarbc,SG,7/2/19,9.595677083,2591.20174,12
lowerbarbc,SG,7/3/19,9.34225,2581.606062,13
lowerbarbc,SG,7/4/19,9.527364583,2572.263812,14
lowerbarbc,SG,7/5/19,9.613677083,2562.736448,15
lowerbarbc,SG,7/6/19,9.624375,2553.122771,16
lowerbarbc,SG,7/7/19,9.659625,2543.498396,17
lowerbarbc,SG,7/8/19,9.407052083,2533.838771,18
