JuLengthTotal,MaDOYrel,JuDateSampled,MaDateSampled,streamid,yearid,dum
88,2,2020-05-19,2019-06-21,1,1,1
112,-42,2020-05-19,2019-05-08,1,1,1
70,33,2020-05-19,2019-07-22,1,1,1
82,-42,2020-05-19,2019-05-08,1,1,1
60,-12,2020-05-19,2019-06-07,1,1,1
66,9,2020-05-19,2019-06-28,1,1,1
74,9,2020-05-19,2019-06-28,1,1,1
81,4,2020-05-19,2019-06-23,1,1,1
80,-18,2020-05-19,2019-06-01,1,1,1
65,14,2020-05-19,2019-07-03,1,1,1
76,9,2020-05-19,2019-06-28,1,1,1
65,-9,2020-05-19,2019-06-10,1,1,1
71,9,2020-05-19,2019-06-28,1,1,1
69,33,2020-05-19,2019-07-22,1,1,1
86,-12,2020-05-19,2019-06-07,1,1,1
85,-12,2020-05-19,2019-06-07,1,1,1
76,4,2020-05-19,2019-06-23,1,1,1
57,19,2020-05-19,2019-07-08,1,1,1
61,9,2020-05-19,2019-06-28,1,1,1
75,-18,2020-05-19,2019-06-01,1,1,1
78,0,2020-05-19,2019-06-19,1,1,1
72,14,2020-05-19,2019-07-03,1,1,1
71,19,2020-05-19,2019-07-08,1,1,1
64,9,2020-05-19,2019-06-28,1,1,1
73,-3,2020-05-19,2019-06-16,1,1,1
76,18,2020-05-19,2019-07-07,1,1,1
96,-12,2020-05-19,2019-06-07,1,1,1
87,-12,2020-05-19,2019-06-07,1,1,1
65,9,2020-05-19,2019-06-28,1,1,1
61,18,2020-05-19,2019-07-07,1,1,1
75,-12,2020-05-19,2019-06-07,1,1,1
82,18,2020-05-19,2019-07-07,1,1,1
65,18,2020-05-19,2019-07-07,1,1,1
73,9,2020-05-19,2019-06-28,1,1,1
74,9,2020-05-19,2019-06-28,1,1,1
68,-12,2020-05-19,2019-06-07,1,1,1
100,19,2020-05-19,2019-07-08,1,1,1
72,-42,2020-05-19,2019-05-08,1,1,1
104,2,2020-05-19,2019-06-21,1,1,1
112,-42,2020-05-19,2019-05-08,1,1,1
70,-12,2020-05-19,2019-06-07,1,1,1
95,18,2020-05-19,2019-07-07,1,1,1
71,14,2020-05-19,2019-07-03,1,1,1
69,9,2020-05-19,2019-06-28,1,1,1
80,9,2020-05-19,2019-06-28,1,1,1
88,-12,2020-05-19,2019-06-07,1,1,1
67,9,2020-05-19,2019-06-28,1,1,1
80,-12,2020-05-19,2019-06-07,1,1,1
77,18,2020-05-19,2019-07-07,1,1,1
92,2,2020-05-19,2019-06-21,1,1,1
87,-42,2020-05-19,2019-05-08,1,1,1
90,2,2020-05-19,2019-06-21,1,1,1
81,-42,2020-05-19,2019-05-08,1,1,1
71,9,2020-05-19,2019-06-28,1,1,1
77,2,2020-05-19,2019-06-21,1,1,1
112,-12,2020-05-19,2019-06-07,1,1,1
80,4,2020-05-19,2019-06-23,1,1,1
65,9,2020-05-19,2019-06-28,1,1,1
59,16,2020-05-19,2019-07-05,1,1,1
77,-42,2020-05-19,2019-05-08,1,1,1
76,18,2020-05-19,2019-07-07,1,1,1
60,9,2020-05-19,2019-06-28,1,1,1
123,-8,2021-05-14,2020-06-10,1,2,2
108,6,2021-05-14,2020-06-24,1,2,2
120,6,2021-05-14,2020-06-24,1,2,2
68,7,2021-05-14,2020-06-25,1,2,2
82,13,2021-05-14,2020-07-01,1,2,2
66,6,2021-05-14,2020-06-24,1,2,2
94,7,2021-05-14,2020-06-25,1,2,2
81,14,2021-05-14,2020-07-02,1,2,2
75,18,2021-05-14,2020-07-06,1,2,2
82,6,2021-05-14,2020-06-24,1,2,2
