MaFieldID,MaDOYrel,stream,spawnyr,streamid,yearid,cohort,dum
20LA012,-18,lower,2020,1,2,13,2
20LA029,-17,lower,2020,1,2,2,2
20LA031,-15,lower,2020,1,2,1,2
20LA046,-8,lower,2020,1,2,1,2
20LA048,-6,lower,2020,1,2,1,2
20LA060,-4,lower,2020,1,2,1,2
20LA067,-2,lower,2020,1,2,2,2
20LA069,-2,lower,2020,1,2,1,2
20LA075,-1,lower,2020,1,2,8,2
20LA086,1,lower,2020,1,2,1,2
20LA091,2,lower,2020,1,2,2,2
20LA106,4,lower,2020,1,2,1,2
20LA109,5,lower,2020,1,2,1,2
20LA113,5,lower,2020,1,2,1,2
20LA119,6,lower,2020,1,2,1,2
20LA120,6,lower,2020,1,2,2,2
20LA121,6,lower,2020,1,2,3,2
20LA124,6,lower,2020,1,2,4,2
20LA133,7,lower,2020,1,2,1,2
20LA134,7,lower,2020,1,2,6,2
20LA143,13,lower,2020,1,2,1,2
20LA147,14,lower,2020,1,2,2,2
20LA155,18,lower,2020,1,2,1,2
20LA156,18,lower,2020,1,2,1,2
20LA157,18,lower,2020,1,2,2,2
L-A-017,-42,lower,2019,1,1,7,1
L-A-026,-18,lower,2019,1,1,2,1
L-A-042,-12,lower,2019,1,1,3,1
L-A-043,-12,lower,2019,1,1,3,1
L-A-044,-12,lower,2019,1,1,5,1
L-A-049,-9,lower,2019,1,1,1,1
L-A-061,-3,lower,2019,1,1,1,1
L-A-068,0,lower,2019,1,1,1,1
L-A-081,2,lower,2019,1,1,5,1
L-A-086,4,lower,2019,1,1,3,1
L-A-103,9,lower,2019,1,1,15,1
L-A-115,14,lower,2019,1,1,3,1
L-A-121,16,lower,2019,1,1,1,1
L-A-124,18,lower,2019,1,1,8,1
L-A-125,19,lower,2019,1,1,3,1
L-A-130,33,lower,2019,1,1,2,1
U-A-036,-5,upper,2019,2,1,3,3
U-A-037,-5,upper,2019,2,1,1,3
U-A-045,-3,upper,2019,2,1,1,3
U-A-049,0,upper,2019,2,1,2,3
U-A-052,0,upper,2019,2,1,4,3
U-A-057,0,upper,2019,2,1,3,3
U-A-064,2,upper,2019,2,1,1,3
U-A-071,4,upper,2019,2,1,5,3
U-A-085,10,upper,2019,2,1,8,3
U-A-090,10,upper,2019,2,1,3,3
U-A-096,11,upper,2019,2,1,3,3
U-A-097,15,upper,2019,2,1,1,3
U-A-098,15,upper,2019,2,1,2,3
U-A-100,15,upper,2019,2,1,2,3
U-A-103,20,upper,2019,2,1,6,3
U-A-104,25,upper,2019,2,1,2,3
